Errx,ErrY,ErrZ,ErrYaw,DesPosX,DesPosY,DesPosZ,DesYaw,AcPosX,AcPosY,AcPosZ,AcYaw
0.02466388421543475,-0.16074498271360804,0.12079698870663846,[ 1.81725981  2.32753128 -1.03352605],-1.850785858324823,-2.3610573281106175,1.0,0.0,-1.8261219741093881,-2.5218023108242256,1.1207969887066385,-0.03352604539358143
0.02659454351981294,-0.15944454862238988,0.12046586691236505,[ 1.7802725   2.34665486 -1.03886902],-1.8191415148438406,-2.3855238730668065,1.0,0.0,-1.7925469713240276,-2.5449684216891963,1.120465866912365,-0.03886901633460199
0.02851956045661419,-0.1582828206427811,0.11986864573927614,[ 1.74761973  2.37001229 -1.03955404],-1.7871737732179955,-2.409566331172842,1.0,0.0,-1.7586542127613813,-2.567849151815623,1.1198686457392761,-0.03955404239178985
0.030459844431271588,-0.15704615309395642,0.11931874515055019,[ 1.71632777  2.39461988 -1.03856055],-1.754888316517195,-2.4331804282772467,1.0,0.0,-1.7244284720859233,-2.590226581371203,1.1193187451505502,-0.03856054540315102
0.032502689721265465,-0.15575116532516242,0.11888377210394174,[ 1.67849995  2.41257103 -1.04379094],-1.722290884293118,-2.4563619663805305,1.0,0.0,-1.6897881945718525,-2.612113131705693,1.1188837721039417,-0.043790937629814924
0.034614798004370506,-0.15456807351522794,0.11862441806565949,[ 1.64195885  2.4316784  -1.04742842],-1.689387271558993,-2.479106824381406,1.0,0.0,-1.6547724735546225,-2.633674897896634,1.1186244180656595,-0.04742842490646912
0.036930121314065145,-0.15343613334720851,0.11849392709540818,[ 1.61182125  2.45704889 -1.04436207],-1.6561833277593125,-2.501410958809465,1.0,0.0,-1.6192532064452474,-2.6548470921566736,1.1184939270954082,-0.04436207276953817
0.03930729638541197,-0.1522087799623586,0.1183710725044178,[ 1.58028501  2.48087046 -1.04239994],-1.6226849557299872,-2.5232704045439855,1.0,0.0,-1.5833776593445752,-2.675479184506344,1.1183710725044178,-0.042399941569575085
0.0417365618398895,-0.15077749843060406,0.11833789624988111,[ 1.54438809  2.50017125 -1.04451002],-1.588898110648893,-2.544681275518877,1.0,0.0,-1.5471615488090036,-2.695458773949481,1.1183378962498811,-0.0445100219895654
0.04415120639057313,-0.14912798333406263,0.11819759746742897,[ 1.50445686  2.51526783 -1.05037194],-1.5548287989773009,-2.5656397654134544,1.0,0.0,-1.5106775925867277,-2.714767748747517,1.118197597467429,-0.05037193613698356
0.046667151891967906,-0.14744883237687567,0.1179589958041849,[ 1.46704611  2.53270519 -1.05343696],-1.5204830773920168,-2.5861421483291487,1.0,0.0,-1.473815925500049,-2.7335909807060244,1.117958995804185,-0.05343696302639182
0.04934907054838611,-0.1456731629254171,0.11758980253045404,[ 1.43046541  2.55078314 -1.05540164],-1.4858670517086079,-2.6061847794519037,1.0,0.0,-1.4365179811602218,-2.751857942377321,1.117589802530454,-0.055401639957881554
0.05207096451406712,-0.14372857299260566,0.11695956324350232,[ 1.39149549  2.56627271 -1.05949139],-1.450986875796045,-2.625764095700075,1.0,0.0,-1.3989159112819778,-2.769492668692681,1.1169595632435023,-0.05949138509529585
0.05492429676537425,-0.14156838493630097,0.11635053617938196,[ 1.35215865  2.58118652 -1.0636901 ],-1.415848750482624,-2.644876616357896,1.0,0.0,-1.3609244537172498,-2.786445001294197,1.116350536179382,-0.06369009842547636
0.05776655528403052,-0.13919841130076227,0.1159380439204547,[ 1.31058647  2.5936465  -1.06987245],-1.3804589224536548,-2.6635189436942426,1.0,0.0,-1.3226923671696242,-2.802717354995005,1.1159380439204547,-0.06987244868498067
0.06057803065134526,-0.1368553428507875,0.11567473018709329,[ 1.27173123  2.60859531 -1.07309245],-1.3448236831408735,-2.6816877635667087,1.0,0.0,-1.2842456524895283,-2.818543106417496,1.1156747301870933,-0.0730924530712669
0.06330572808330892,-0.13463455949184544,0.11527852619728418,[ 1.23939293  2.62982341 -1.06955644],-1.3089493676041029,-2.6993798460107126,1.0,0.0,-1.245643639520794,-2.834014405502558,1.1152785261972842,-0.06955643841567968
0.06586318877947761,-0.13246805405875461,0.11470973077673108,[ 1.20967539  2.65342508 -1.06316696],-1.2728423534049726,-2.7165920458137416,1.0,0.0,-1.206979164625495,-2.849060099872496,1.114709730776731,-0.06316696409902382
0.06843859220667037,-0.13035732598842964,0.1139236049075274,[ 1.17822193  2.67503417 -1.05828713],-1.2365090594730956,-2.733321303074514,1.0,0.0,-1.1680704672664253,-2.8636786290629437,1.1139236049075274,-0.05828712923814687
0.07092192784409668,-0.12819708543196962,0.11298372339824869,[ 1.14199339  2.69160209 -1.05796256],-1.1999559449650539,-2.7495646437469015,1.0,0.0,-1.1290340171209572,-2.877761729178871,1.1129837233982487,-0.05796255853193968
0.07347753224674425,-0.12604020774644953,0.1120733306346946,[ 1.10075081  2.70288049 -1.06243869],-1.1631895081160435,-2.7653191801686754,1.0,0.0,-1.0897119758692992,-2.891359387915125,1.1120733306346946,-0.062438693443176034
0.07611438830297201,-0.12388211489263146,0.11111157700520291,[ 1.05898631  2.71335214 -1.06722997],-1.1262162850846922,-2.780582111574847,1.0,0.0,-1.0501018967817202,-2.9044642264674785,1.111111577005203,-0.06722997481923738
0.07871236864415376,-0.12173610864063766,0.11007469326171249,[ 1.01887504  2.72518292 -1.07016781],-1.08904284879101,-2.7953507245956026,1.0,0.0,-1.0103304801468562,-2.9170868332362403,1.1100746932617125,-0.07016780807549748
0.08133551218690771,-0.1195866404757715,0.10898411435177757,[ 0.9827621   2.74070868 -1.06891371],-1.0516758077480297,-2.8096223937386196,1.0,0.0,-0.970340295561122,-2.929209034214391,1.1089841143517776,-0.06891371125885755
0.08383512901425494,-0.11738764142225344,0.10799144560170104,[ 0.94769225  2.75696502 -1.06642956],-1.0141218048868144,-2.823394581855875,1.0,0.0,-0.9302866758725594,-2.9407822232781284,1.107991445601701,-0.06642955693257001
0.0862938036766151,-0.1152045454960331,0.10694118748714954,[ 0.90991837  2.77019569 -1.06646915],-0.9763875163756515,-2.836664840594635,1.0,0.0,-0.8900937126990364,-2.951869386090668,1.1069411874871495,-0.06646915029342397
0.08885856160013395,-0.11318145370693555,0.10592254647920374,[ 0.87236582  2.78331698 -1.06611383],-0.9384796504331185,-2.8494308108327413,1.0,0.0,-0.8496210888329846,-2.962612264539677,1.1059225464792037,-0.06611383118106119
